7	Q01	[1]	y=x^2-3x	y'=2x-3	2x
3	Q01	[2]	y=sin(x)	y'=cos(x)	Cosx
3	Q02	[1]	y=x^4+x^3-x^2	y'=4x^3+3x^2-2x	3x^3+3x^(2)-2x
8	Q02	[1]	y=x^4+x^3-x^2	y'=4x^3+3x^2-2x	4x^(2)+3x^(2)-2x
2	Q02	[2]	y=3x^5	y'=15x^4	8x^(4)
9	Q02	[2]	y=3x^5	y'=15x^4	15x
1	Q02	[3]	y=(x+1)sq(x)	y'=sq(x)+fr(x+1,2sq(x))	fr(1,2)x^(-fr(1,2))(x+1)
2	Q02	[3]	y=(x+1)sq(x)	y'=sq(x)+fr(x+1,2sq(x))	fr(1,2)x
4	Q02	[3]	y=(x+1)sq(x)	y'=sq(x)+fr(x+1,2sq(x))	fr(1,2)x^(-fr(1,2))
6	Q02	[3]	y=(x+1)sq(x)	y'=sq(x)+fr(x+1,2sq(x))	fr(1,2)x^(-fr(1,2))
7	Q02	[3]	y=(x+1)sq(x)	y'=sq(x)+fr(x+1,2sq(x))	fr(3xfr(1,2),2)+fr(1,2xfr(1,2))
8	Q02	[3]	y=(x+1)sq(x)	y'=sq(x)+fr(x+1,2sq(x))	fr(1,2)x^(-fr(1,2))
9	Q02	[3]	y=(x+1)sq(x)	y'=sq(x)+fr(x+1,2sq(x))	fr(1,2)x^(fr(1,2))
10	Q02	[3]	y=(x+1)sq(x)	y'=sq(x)+fr(x+1,2sq(x))	1fr(1,2)x^(-fr(1,2))
11	Q02	[3]	y=(x+1)sq(x)	y'=sq(x)+fr(x+1,2sq(x))	fr(3,2)x^fr(1,2)+fr(1,2x^(fr(1,2)))
12	Q02	[3]	y=(x+1)sq(x)	y'=sq(x)+fr(x+1,2sq(x))	fr(1,2sq(x))
1	Q02	[4]	y=fr(x^2+1,x+2)	y'=fr(x^2+4x-1,(x+2)^2)	2x
2	Q02	[4]	y=fr(x^2+1,x+2)	y'=fr(x^2+4x-1,(x+2)^2)	
6	Q02	[4]	y=fr(x^2+1,x+2)	y'=fr(x^2+4x-1,(x+2)^2)	fr(x^(2)+4x-1,x^(2)+4x+4
10	Q02	[4]	y=fr(x^2+1,x+2)	y'=fr(x^2+4x-1,(x+2)^2)	(x+2)^(2)
11	Q02	[4]	y=fr(x^2+1,x+2)	y'=fr(x^2+4x-1,(x+2)^2)	fr(-x^(2)-2x,x^(2)+4x+4)
12	Q02	[4]	y=fr(x^2+1,x+2)	y'=fr(x^2+4x-1,(x+2)^2)	2x
10	Q02	[5]	y=(2x+3)^5	y'=10(2x+3)^4	5(2x+3)^(4)
12	Q02	[5]	y=(2x+3)^5	y'=10(2x+3)^4	5(2)^(4)
2	Q03	[1]	y=x+cos(x)	y'=1-sin(x)	1+sin(x)
11	Q03	[1]	y=x+cos(x)	y'=1-sin(x)	fr(1,2)x^(2)-sin(x)
12	Q03	[1]	y=x+cos(x)	y'=1-sin(x)	1-sinx
1	Q03	[2]	y=xsin(x)	y'=sin(x)+xcos(x)	1
2	Q03	[2]	y=xsin(x)	y'=sin(x)+xcos(x)	
4	Q03	[2]	y=xsin(x)	y'=sin(x)+xcos(x)	cos(x)
9	Q03	[2]	y=xsin(x)	y'=sin(x)+xcos(x)	cos(x)
10	Q03	[2]	y=xsin(x)	y'=sin(x)+xcos(x)	1cos(x)
11	Q03	[2]	y=xsin(x)	y'=sin(x)+xcos(x)	sin(x)-xcos(x)+c
12	Q03	[2]	y=xsin(x)	y'=sin(x)+xcos(x)	cos(x)
1	Q03	[3]	y=sin(4x)	y'=4cos(4x)	-4cos(x)
3	Q03	[3]	y=sin(4x)	y'=4cos(4x)	4sin(4x)
4	Q03	[3]	y=sin(4x)	y'=4cos(4x)	5cos(x)
9	Q03	[3]	y=sin(4x)	y'=4cos(4x)	cos(4x)
10	Q03	[3]	y=sin(4x)	y'=4cos(4x)	cos(4x)
11	Q03	[3]	y=sin(4x)	y'=4cos(4x)	4cos(4x)+c
12	Q03	[3]	y=sin(4x)	y'=4cos(4x)	2cos(2x)
1	Q04	[1]	y=e^(x)+x^(2)	y'=e^(x)+2x	2.71828+2x
12	Q04	[1]	y=e^(x)+x^(2)	y'=e^(x)+2x	e^(x)+2
1	Q04	[2]	y=e^(2x)	y'=2e^(x)	5.43656
3	Q04	[2]	y=e^(2x)	y'=2e^(x)	2e^(2x)
7	Q04	[2]	y=e^(2x)	y'=2e^(x)	2e^(2x)
10	Q04	[2]	y=e^(2x)	y'=2e^(x)	2e^(2x-1)
11	Q04	[2]	y=e^(2x)	y'=2e^(x)	2e^(2x)
12	Q04	[2]	y=e^(2x)	y'=2e^(x)	2*e^(2x)
1	Q04	[3]	y=e^(-x)	y'=-e^(-x)	-2.71828
2	Q04	[3]	y=e^(-x)	y'=-e^(-x)	fr(1,2)e^(2)
4	Q04	[3]	y=e^(-x)	y'=-e^(-x)	fr(1,2)e^(x)
6	Q04	[3]	y=e^(-x)	y'=-e^(-x)	fr(1,e^(x))
8	Q04	[3]	y=e^(-x)	y'=-e^(-x)	fr(1,2)e^(x)
9	Q04	[3]	y=e^(-x)	y'=-e^(-x)	-e^(x)
10	Q04	[3]	y=e^(-x)	y'=-e^(-x)	-e
10	Q04	[]	eの値を小数第５位まで書け．	2.72	1.25671
1	Q06	[1]	y=log(x)+e^(x)	y'=fr(1,x)+e^(x)	fr(1,x)+x
2	Q06	[1]	y=log(x)+e^(x)	y'=fr(1,x)+e^(x)	fr(1,2)+e^(x)
3	Q06	[1]	y=log(x)+e^(x)	y'=fr(1,x)+e^(x)	fr(1,ln(x))+e^(x)
4	Q06	[1]	y=log(x)+e^(x)	y'=fr(1,x)+e^(x)	fr(1,x)+e^(x)
7	Q06	[1]	y=log(x)+e^(x)	y'=fr(1,x)+e^(x)	fr(1,xln(10))+e^(x)
8	Q06	[1]	y=log(x)+e^(x)	y'=fr(1,x)+e^(x)	fr(1,2)+e^(x)
1	Q06	[2]	y=log(2x)	y'=fr(1,x)	fr(1,2x)
2	Q06	[2]	y=log(2x)	y'=fr(1,x)	
3	Q06	[2]	y=log(2x)	y'=fr(1,x)	2log(2x)
4	Q06	[2]	y=log(2x)	y'=fr(1,x)	fr(1,x)
7	Q06	[2]	y=log(2x)	y'=fr(1,x)	fr(1,xln(10))
11	Q06	[2]	y=log(2x)	y'=fr(1,x)	fr(1,2x)
1	Q06	[3]	y=log(x+2)	y'=fr(1,x+2)	fr(x+2,x)
3	Q06	[3]	y=log(x+2)	y'=fr(1,x+2)	log(x+2)
4	Q06	[3]	y=log(x+2)	y'=fr(1,x+2)	(x+fr(1,2))
7	Q06	[3]	y=log(x+2)	y'=fr(1,x+2)	fr(1,xln(10)+2ln(10))
8	Q06	[3]	y=log(x+2)	y'=fr(1,x+2)	fr(1,x+2)
10	Q06	[3]	y=log(x+2)	y'=fr(1,x+2)	x+fr(1,2)
11	Q06	[3]	y=log(x+2)	y'=fr(1,x+2)	fr(1,x-2)
12	Q06	[3]	y=log(x+2)	y'=fr(1,x+2)	fr(1,x)
4	Q07	[]	int(x^2,x)はどうなるか．	y'=fr(1,3)x^3+C	fr(1,3)n^(3)+c
10	Q07	[]	int(x^2,x)はどうなるか．	y'=fr(1,3)x^3+C	2x+c
10	Q08	[1]	int((x^3-5x^2+1),x)	fr(1,4)x^4-fr(5,3)x^3+x+C	(3x^(2)-10x+1)c
11	Q08	[1]	int((x^3-5x^2+1),x)	fr(1,4)x^4-fr(5,3)x^3+x+C	fr(1,4)x^(4)-fr(5,3)x^(3)+x+c
4	Q08	[2]	int((1-x-x^2),x)	x-fr(1,2)x^2-fr(1,3)x^3+C	x-fr(1,2)x^(2)-fr(1,3)x^(3)
9	Q08	[2]	int((1-x-x^2),x)	x-fr(1,2)x^2-fr(1,3)x^3+C	1-fr(1,2)x-fr(1,3)+c
10	Q08	[2]	int((1-x-x^2),x)	x-fr(1,2)x^2-fr(1,3)x^3+C	(1-x-2x)c
2	Q08	[3]	int(3x^2,x)	x^3+C	fr(3,4)x^(4)+c
3	Q08	[3]	int(3x^2,x)	x^3+C	x^(3)+k
10	Q08	[3]	int(3x^2,x)	x^3+C	6xc
1	Q08	[4]	int((-3x^2+2x+3),x)	-x^3+x^2+3x+C	-x^(3)+x^(2)+3x
2	Q08	[4]	int((-3x^2+2x+3),x)	-x^3+x^2+3x+C	fr(3,4)x^(4)+fr(2,3)x^(3)+3x+c
4	Q08	[4]	int((-3x^2+2x+3),x)	-x^3+x^2+3x+C	-x^(3)+x^(2)+x
7	Q08	[4]	int((-3x^2+2x+3),x)	-x^3+x^2+3x+C	-x^(3)+x^(2)+3x+C
9	Q08	[4]	int((-3x^2+2x+3),x)	-x^3+x^2+3x+C	-x^(3)+x^(2)+3+c
10	Q08	[4]	int((-3x^2+2x+3),x)	-x^3+x^2+3x+C	(-6x+2x+3)c
12	Q08	[4]	int((-3x^2+2x+3),x)	-x^3+x^2+3x+C	-fr(3,3)x^(3)+fr(2,2)x^(2)+3x+c
2	Q08	[5]	int((4x^3-8x+3),x)	x^4-4x^2+3x+C	fr(4,5)x^(4)-4x^(2)+3x+c
4	Q08	[5]	int((4x^3-8x+3),x)	x^4-4x^2+3x+C	x^(4)-4x^(2)+x
9	Q08	[5]	int((4x^3-8x+3),x)	x^4-4x^2+3x+C	x^(4)-4x+3+c
10	Q08	[5]	int((4x^3-8x+3),x)	x^4-4x^2+3x+C	(12x^(2)-8x+3)c
4	Q08	[6]	int((2x^3+4x-3),x)	fr(1,2)x^4+2x^2-3x+C	fr(1,2)x^(4)+2x^(2)-x
9	Q08	[6]	int((2x^3+4x-3),x)	fr(1,2)x^4+2x^2-3x+C	fr(1,2)x^(4)+2x^(2)-3
10	Q08	[6]	int((2x^3+4x-3),x)	fr(1,2)x^4+2x^2-3x+C	(6x^(2)+4x-3)c
11	Q08	[6]	int((2x^3+4x-3),x)	fr(1,2)x^4+2x^2-3x+C	fr(1,2)x^(4)+2x^(2)-3x+c
12	Q08	[6]	int((2x^3+4x-3),x)	fr(1,2)x^4+2x^2-3x+C	fr(1,2)x^(4)+2x^(2)-3x+c
1	Q09	[1]	int((3sin(x)+cos(3x)),x)	-3cos(x)+fr(1,3)sin(3x)+C	-3sin(x)+fr(1,3)sin(3x)+c
2	Q09	[1]	int((3sin(x)+cos(3x)),x)	-3cos(x)+fr(1,3)sin(3x)+C	3cos(x)+fr(1,3)sin(3x)+c
4	Q09	[1]	int((3sin(x)+cos(3x)),x)	-3cos(x)+fr(1,3)sin(3x)+C	-3cos(x)+fr(1,3)sin(3x)+c
6	Q09	[1]	int((3sin(x)+cos(3x)),x)	-3cos(x)+fr(1,3)sin(3x)+C	1-fr(1,3)cos(3x)+fr(1,3)sin(3x)+C
7	Q09	[1]	int((3sin(x)+cos(3x)),x)	-3cos(x)+fr(1,3)sin(3x)+C	-3cos(x)+fr(1,3)sin(3x)+C
8	Q09	[1]	int((3sin(x)+cos(3x)),x)	-3cos(x)+fr(1,3)sin(3x)+C	-3xcos(x)+fr(1,3)sin3x+c
9	Q09	[1]	int((3sin(x)+cos(3x)),x)	-3cos(x)+fr(1,3)sin(3x)+C	-3cos(x)+fr(1,3)cos(x)+c
10	Q09	[1]	int((3sin(x)+cos(3x)),x)	-3cos(x)+fr(1,3)sin(3x)+C	(3cos(x)-sin(3x))c
11	Q09	[1]	int((3sin(x)+cos(3x)),x)	-3cos(x)+fr(1,3)sin(3x)+C	-3cos(x)+sin(3x)+c
12	Q09	[1]	int((3sin(x)+cos(3x)),x)	-3cos(x)+fr(1,3)sin(3x)+C	-3cos(x)+sin(3x)+c
1	Q09	[2]	int((1+fr(1,cos(x)))(1-fr(1,cos(x))),x)	x-tan(x)+C	(1+-fr(1,sin(x)))(1+sin(x))+c
2	Q09	[2]	int((1+fr(1,cos(x)))(1-fr(1,cos(x))),x)	x-tan(x)+C	x-tan(x)+c
4	Q09	[2]	int((1+fr(1,cos(x)))(1-fr(1,cos(x))),x)	x-tan(x)+C	x-tan(x)+c
6	Q09	[2]	int((1+fr(1,cos(x)))(1-fr(1,cos(x))),x)	x-tan(x)+C	x-tan(x)+C
7	Q09	[2]	int((1+fr(1,cos(x)))(1-fr(1,cos(x))),x)	x-tan(x)+C	-(-x+tan(x))+C
8	Q09	[2]	int((1+fr(1,cos(x)))(1-fr(1,cos(x))),x)	x-tan(x)+C	x-tan(x)+c
9	Q09	[2]	int((1+fr(1,cos(x)))(1-fr(1,cos(x))),x)	x-tan(x)+C	ｘ-tan(x)
10	Q09	[2]	int((1+fr(1,cos(x)))(1-fr(1,cos(x))),x)	x-tan(x)+C	(1+fr(1,-sin(x)))(1-fr(1,-sin(x)))c
11	Q09	[2]	int((1+fr(1,cos(x)))(1-fr(1,cos(x))),x)	x-tan(x)+C	tan(x)-1+c
12	Q09	[2]	int((1+fr(1,cos(x)))(1-fr(1,cos(x))),x)	x-tan(x)+C	(1+fr(1,sin(x)))(1-fr(1,sin(x)))
1	Q10	[1]	int((2e^x+fr(3,x)),x)	2e^x+3log(x)+C	4e^(x)+log|3x|+c
2	Q10	[1]	int((2e^x+fr(3,x)),x)	2e^x+3log(x)+C	2e^(x)+log(3x)+c
3	Q10	[1]	int((2e^x+fr(3,x)),x)	2e^x+3log(x)+C	2e^(x)+1+k
4	Q10	[1]	int((2e^x+fr(3,x)),x)	2e^x+3log(x)+C	2e^(x)+log(3x+c)
6	Q10	[1]	int((2e^x+fr(3,x)),x)	2e^x+3log(x)+C	2e^(x)+3log(x)+C
7	Q10	[1]	int((2e^x+fr(3,x)),x)	2e^x+3log(x)+C	2e^(x)+3ln(|x|)+C
8	Q10	[1]	int((2e^x+fr(3,x)),x)	2e^x+3log(x)+C	2e^(x)+log(3x)+c
9	Q10	[1]	int((2e^x+fr(3,x)),x)	2e^x+3log(x)+C	e^(x)+log(3)+c
10	Q10	[1]	int((2e^x+fr(3,x)),x)	2e^x+3log(x)+C	(2e^(x)+3)c
11	Q10	[1]	int((2e^x+fr(3,x)),x)	2e^x+3log(x)+C	2e^(x)+log(3)+c
12	Q10	[1]	int((2e^x+fr(3,x)),x)	2e^x+3log(x)+C	2e^(x)+fr(3,2)x^(2)
1	Q10	[2]	int((e^x+1)^2,x)	fr(1,2)e^x+2e^x+x+C	fr(1,2)e^(2x)+1+c
2	Q10	[2]	int((e^x+1)^2,x)	fr(1,2)e^x+2e^x+x+C	fr(1,2)e^(2x)+fr(1,2)e^(2x)+x+c
3	Q10	[2]	int((e^x+1)^2,x)	fr(1,2)e^x+2e^x+x+C	fr((e^(x)+1)^(3),3e^(x))+k
4	Q10	[2]	int((e^x+1)^2,x)	fr(1,2)e^x+2e^x+x+C	fr(1,2)e^(2)x-2e^(x)
6	Q10	[2]	int((e^x+1)^2,x)	fr(1,2)e^x+2e^x+x+C	fr(1,2)e^(2x)+2e^(x)+x+C
7	Q10	[2]	int((e^x+1)^2,x)	fr(1,2)e^x+2e^x+x+C	fr(1,2)e^(2x)+2e^(x)+x+C
8	Q10	[2]	int((e^x+1)^2,x)	fr(1,2)e^x+2e^x+x+C	fr(1,2)e^(2)x-2e^(x)
9	Q10	[2]	int((e^x+1)^2,x)	fr(1,2)e^x+2e^x+x+C	fr(1,2)e^(2x)-2e^(x)
10	Q10	[2]	int((e^x+1)^2,x)	fr(1,2)e^x+2e^x+x+C	2(e^(x)+1)c
11	Q10	[2]	int((e^x+1)^2,x)	fr(1,2)e^x+2e^x+x+C	fr(1,3)(e^(x)+1)^(3)+c
12	Q10	[2]	int((e^x+1)^2,x)	fr(1,2)e^x+2e^x+x+C	e^(x)+fr(1,2)x^(2)
